ts,phase,delta_p,delta_q,thd_v,thd_i,hv1,hv2,hv3,hv4,hv5,hi1,hi2,hi3,hi4,hi5
2026-06-12 16:14:25,2,-79.01,-41.74,0.0335,0.4181,178.8204,0.2773,4.5867,0.0902,1.8976,0.729,0.0169,0.4653,0.0148,0.4214
2026-06-12 16:18:12,2,-105.31,-26.07,0.0333,0.7271,178.7439,0.3311,4.3617,0.1105,2.4073,0.017,0.624,0.0149,0.4659,0.0086
2026-06-12 16:26:54,2,-87.67,-11.63,0.0318,0.6099,175.8969,0.1161,3.9772,0.1789,1.555,0.8217,0.0189,0.6531,0.0141,0.4672
2026-06-12 17:43:11,2,-58.53,-73.36,0.0362,1.203,180.6042,0.0849,5.4687,0.0532,0.7118,0.0239,0.2816,0.0376,0.2509,0.0302
2026-06-12 18:05:20,2,53.55,64.94,0.0401,1.5708,179.9668,0.0372,6.1156,0.1095,0.7097,0.021,0.5454,0.0103,0.4639,0.0137
2026-06-12 18:41:14,2,114.81,-51.5,0.0418,0.2168,181.0834,0.1079,6.2666,0.0471,0.5803,0.013,0.1673,0.0124,0.1486,0.0072
2026-06-12 18:52:02,2,842.3,36.94,0.0372,0.2703,179.0245,0.1385,5.6989,0.0312,0.1738,0.2902,0.0127,0.2205,0.0139,0.1642
2026-06-12 18:52:28,2,52.01,6.82,0.0439,0.0687,175.7898,0.0714,6.5679,0.1064,0.2274,0.3085,0.0164,0.2662,0.0054,0.1671
2026-06-12 18:52:51,2,-889.74,-40.71,0.0405,0.2667,179.4136,0.271,6.1407,0.0894,0.2229,0.2744,0.0132,0.233,0.0051,0.1697
2026-06-12 18:53:11,2,852.12,42.2,0.0407,0.0653,172.8903,0.1389,5.6747,0.0308,0.5293,0.2806,0.0241,0.2624,0.0106,0.1402
2026-06-12 18:53:21,2,-849.84,-44.97,0.0396,0.2456,179.7683,0.1857,5.8158,0.0445,0.1067,0.2444,0.0095,0.2054,0.0064,0.142
2026-06-12 18:56:10,1,82.74,37.51,0.0467,0.4515,176.5044,0.2454,6.1329,0.1072,0.7754,0.0526,0.4322,0.0453,0.1818,0.0206
2026-06-12 18:56:10,2,100.48,69.15,0.0422,0.264,178.5077,0.0858,6.4584,0.0616,0.5851,0.0559,0.2926,0.0397,0.3683,0.0138
2026-06-12 18:56:15,1,64.5,63.55,0.0469,0.4682,176.4206,0.0466,6.2731,0.036,0.8819,0.0046,0.5152,0.009,0.2207,0.0178
2026-06-12 18:56:18,2,54.51,107.75,0.0397,0.3439,179.1194,0.0392,6.0762,0.0851,0.2696,0.0587,0.4582,0.0365,0.4325,0.0176
2026-06-12 18:56:22,1,62.67,120.11,0.0469,0.6339,175.9872,0.1158,6.1857,0.0853,0.6139,0.1481,0.93,0.0614,0.3284,0.0639
2026-06-12 18:56:27,2,56.61,-37.06,0.0408,0.1416,179.0216,0.1377,6.2677,0.027,0.2903,0.0179,0.2481,0.0032,0.2274,0.0043
2026-06-12 18:56:28,1,65.56,-186.78,0.048,0.1504,175.81,0.1535,6.5754,0.0602,0.9674,0.1036,0.0039,0.1356,0.0031,0.1072
2026-06-12 18:56:36,2,52.44,38.76,0.0397,0.1297,179.0786,0.2135,6.0129,0.0869,0.2367,0.2872,0.0191,0.2373,0.007,0.2138
2026-06-12 18:56:37,1,60.89,24.0,0.0482,0.1321,175.6863,0.0459,6.4658,0.0376,1.1028,0.1254,0.002,0.1366,0.0045,0.1316
2026-06-12 18:56:50,1,52.05,18.68,0.0482,0.1229,175.6657,0.1851,6.5566,0.0526,1.1232,0.1338,0.0058,0.1603,0.001,0.1269
2026-06-12 18:57:11,2,71.45,58.58,0.0394,0.0969,178.14,0.2349,6.0109,0.0805,0.2526,0.2474,0.0114,0.2224,0.0087,0.1976
2026-06-12 18:57:35,1,53.79,16.12,0.0481,0.1054,176.119,0.0913,6.6835,0.0445,1.1388,0.1438,0.0121,0.1728,0.0029,0.131
2026-06-12 18:58:07,1,50.26,11.2,0.0473,0.0969,175.8211,0.1213,6.3391,0.0902,1.1932,0.1469,0.0087,0.1724,0.0047,0.1249
2026-06-12 18:58:12,2,58.9,57.96,0.0407,0.0983,178.193,0.2223,6.2274,0.0874,0.1846,0.2971,0.0023,0.257,0.0008,0.2271
2026-06-12 18:58:36,2,78.76,10.19,0.0335,0.0845,183.5869,0.1471,4.3653,0.0897,1.5833,0.0175,0.2318,0.0124,0.107,0.0091
2026-06-12 18:58:36,1,2183.31,664.04,0.0572,0.2013,156.8568,0.0797,2.534,0.1323,4.0678,0.0832,1.8453,0.0732,0.6993,0.0383
2026-06-12 18:58:51,1,53.83,10.4,0.0593,0.2021,157.4392,0.1797,2.1952,0.0582,4.0779,3.4661,0.1088,1.7986,0.0758,0.657
2026-06-12 18:59:04,2,53.57,39.79,0.0342,0.0799,183.2331,0.0991,4.5911,0.0826,1.7843,0.0212,0.2079,0.0207,0.0597,0.0104
2026-06-12 18:59:06,1,73.09,35.56,0.0604,0.198,158.1683,0.245,2.0866,0.1383,4.086,0.085,1.6789,0.0432,0.6714,0.0183
2026-06-12 18:59:17,2,69.43,56.56,0.0338,0.0781,184.4513,0.0165,4.319,0.0759,1.7808,0.3327,0.0038,0.2217,0.0098,0.0623
2026-06-12 18:59:17,1,60.55,34.66,0.0599,0.1946,157.6995,0.0203,2.042,0.034,3.7922,0.1,1.675,0.0717,0.6855,0.0553
2026-06-12 18:59:58,1,54.32,20.32,0.0596,0.1943,157.4106,0.0617,1.7414,0.058,3.7183,0.0985,1.6053,0.0812,0.7772,0.0611
2026-06-12 19:00:34,1,-50.5,-0.86,0.0589,0.2,157.4886,0.2261,1.6921,0.0472,3.7595,0.1301,1.5723,0.0766,0.8424,0.1036
2026-06-12 19:00:51,2,-136.97,-58.39,0.0412,0.0818,178.2966,0.1729,6.3268,0.0252,0.6366,0.0127,0.2261,0.0125,0.2112,0.0034
2026-06-12 19:00:51,1,-2296.93,-722.87,0.0495,0.0858,174.606,0.2511,6.6975,0.076,1.2165,0.1187,0.0029,0.2022,0.0062,0.1483
2026-06-12 19:01:50,1,-52.68,-17.33,0.0466,0.0916,175.7368,0.2232,6.367,0.0509,1.0784,0.0117,0.1827,0.0041,0.1192,0.0147
2026-06-12 19:02:02,2,-53.97,-35.39,0.0408,0.0927,178.2073,0.1917,6.1157,0.1054,0.6911,0.004,0.2401,0.0057,0.2327,0.0137
2026-06-12 19:04:05,1,-56.27,-8.15,0.0469,0.0918,176.9326,0.4647,6.3635,0.2553,1.5075,0.0052,0.1372,0.0099,0.0974,0.0027
2026-06-12 19:05:13,2,-55.1,-45.1,0.038,0.1069,178.8901,0.1014,4.9914,0.0127,0.3475,0.3151,0.0044,0.2684,0.0008,0.2305
