ts,phase,delta_p,delta_q
2026-06-12T18:58:36,1,2183.31,664.04
2026-06-12T19:00:51,1,-2296.93,-722.87
2026-06-12T19:24:16,1,-487.04,-131.23
2026-06-13T01:41:39,1,2297.21,618.17
2026-06-13T01:44:01,1,-2313.17,-654.22
2026-06-13T01:45:30,1,1972.03,-70.11
2026-06-13T01:50:32,1,-1946.44,97.81
2026-06-13T12:55:26,1,-208.25,-81.65
2026-06-13T16:52:55,1,-253.66,-62.36
2026-06-13T20:47:41,1,2795.51,869.22
2026-06-13T20:49:20,1,-449.7,-20.85
2026-06-13T20:50:41,1,-2273.23,-804.65
2026-06-14T00:53:48,1,2256.55,763.15
2026-06-14T01:00:27,1,-2376.92,-865.52
2026-06-14T09:12:10,1,-215.46,41.14
2026-06-12T18:52:02,2,842.3,36.94
2026-06-12T18:52:51,2,-889.74,-40.71
2026-06-12T18:53:11,2,852.12,42.2
2026-06-12T18:53:21,2,-849.84,-44.97
2026-06-12T19:24:16,2,-400.59,-227.14
2026-06-13T06:57:32,2,868.53,38.78
2026-06-13T07:01:30,2,-899.25,-36.35
2026-06-13T07:02:48,2,1489.32,58.83
2026-06-13T07:06:18,2,347.05,5.78
2026-06-13T07:09:16,2,-1393.11,-38.99
2026-06-13T07:09:54,2,1402.2,8.47
2026-06-13T07:11:59,2,-1368.38,-69.2
2026-06-13T07:13:23,2,1407.12,55.47
2026-06-13T07:16:19,2,-1393.79,-21.47
2026-06-13T07:16:55,2,1391.14,-11.19
2026-06-13T07:18:25,2,-1876.03,24.68
2026-06-13T07:19:54,2,1490.8,63.84
2026-06-13T07:21:44,2,-1515.99,-50.61
2026-06-13T07:54:43,2,294.64,85.37
2026-06-13T07:57:30,2,-388.61,-127.97
2026-06-13T08:04:33,2,-311.03,39.09
2026-06-13T08:08:55,2,289.84,49.33
2026-06-13T08:12:35,2,-315.96,-58.56
2026-06-13T08:14:01,2,1529.28,51.14
2026-06-13T08:16:12,2,-1490.69,-117.12
2026-06-13T08:18:24,2,1594.09,178.32
2026-06-13T08:19:38,2,-220.42,-101.9
2026-06-13T08:20:13,2,-1388.36,-72.41
2026-06-13T08:20:58,2,1377.09,118.21
2026-06-13T08:21:33,2,-1361.28,-115.15
2026-06-13T08:22:18,2,1467.48,58.24
2026-06-13T08:23:01,2,-1476.76,-65.85
2026-06-13T08:24:38,2,320.87,-180.99
2026-06-13T08:25:30,2,1440.12,0.0
2026-06-13T08:25:44,2,-1448.28,97.13
2026-06-13T08:28:47,2,-263.02,-134.59
2026-06-13T08:35:20,2,279.21,-105.49
2026-06-13T08:35:31,2,-311.17,11.46
2026-06-13T08:52:36,2,325.31,38.54
2026-06-13T08:54:36,2,-326.37,-38.87
2026-06-13T09:01:10,2,341.18,119.54
2026-06-13T09:02:33,2,-284.14,128.65
2026-06-13T09:06:45,2,576.13,-83.59
2026-06-13T09:06:48,2,-618.31,-35.45
2026-06-13T09:07:15,2,621.62,20.47
2026-06-13T09:07:19,2,-623.07,-24.86
2026-06-13T09:10:08,2,278.63,-22.98
2026-06-13T09:29:59,2,-338.28,42.82
2026-06-13T10:28:26,2,308.86,-29.65
2026-06-13T10:35:12,2,-370.06,-94.98
2026-06-13T10:40:26,2,369.71,102.44
2026-06-13T10:40:34,2,-322.84,-24.53
2026-06-13T10:41:14,2,602.65,15.07
2026-06-13T10:41:19,2,-277.79,-23.72
2026-06-13T10:41:47,2,-367.05,8.68
2026-06-13T10:59:07,2,298.06,87.47
2026-06-13T11:00:54,2,409.87,-220.33
2026-06-13T11:01:38,2,-629.93,217.77
2026-06-13T11:05:47,2,591.24,88.22
2026-06-13T11:05:51,2,-223.7,-7.18
2026-06-13T11:05:54,2,-370.34,-83.71
2026-06-13T11:08:02,2,292.53,-3.52
2026-06-13T11:17:33,2,-368.69,34.78
2026-06-13T11:56:48,2,338.94,-58.36
2026-06-13T11:59:14,2,1057.62,-75.96
2026-06-13T12:03:43,2,-305.84,-166.13
2026-06-13T12:06:41,2,574.24,31.84
2026-06-13T12:06:49,2,-587.23,-19.84
2026-06-13T12:07:09,2,492.22,11.04
2026-06-13T12:07:16,2,-455.09,-89.9
2026-06-13T12:07:41,2,494.62,-25.24
