ts,vrms,irms,preal,s,q,fp,kwh
2026-06-10T22:21:31,127.87,1.8307,192.38,234.08,-133.37,0.8218,0.158539
2026-06-10T22:21:31,122.74,4.9376,589.74,606.07,139.73,0.9731,0.158552
2026-06-10T22:21:32,127.66,1.8371,197.38,234.53,-126.66,0.8416,0.158603
2026-06-10T22:21:32,122.62,4.9135,575.29,602.49,179.0,0.9548,0.158616
2026-06-10T22:21:32,127.53,1.8196,194.45,232.04,-126.62,0.838,0.158669
2026-06-10T22:21:32,122.6,4.8925,495.79,599.84,337.64,0.8265,0.15868
2026-06-10T22:21:33,127.74,1.8332,195.47,234.17,-128.95,0.8347,0.158734
2026-06-10T22:21:33,122.28,4.8787,570.23,596.59,175.36,0.9558,0.158746
2026-06-10T22:21:34,127.59,1.8182,194.82,231.98,-125.94,0.8398,0.158801
2026-06-10T22:21:34,123.11,5.0046,512.42,616.13,342.11,0.8317,0.158812
2026-06-10T22:21:34,127.73,1.8311,193.01,233.9,-132.11,0.8252,0.158865
2026-06-10T22:21:34,123.18,4.8203,567.78,593.78,173.8,0.9562,0.158878
2026-06-10T22:21:35,127.67,1.8239,198.56,232.86,-121.64,0.8527,0.158933
2026-06-10T22:21:35,123.24,5.1448,593.69,634.06,222.63,0.9363,0.158946
2026-06-10T22:21:35,127.82,1.8285,193.99,233.72,-130.36,0.83,0.159003
2026-06-10T22:21:35,123.08,5.2905,576.25,651.13,303.16,0.885,0.159015
2026-06-10T22:21:36,127.5,1.835,195.77,233.97,-128.13,0.8367,0.159069
2026-06-10T22:21:36,123.44,4.8985,499.64,604.69,340.6,0.8263,0.15908
2026-06-10T22:21:36,127.59,1.8438,207.19,235.25,-111.43,0.8807,0.159134
2026-06-10T22:21:36,123.62,4.7779,516.23,590.65,287.02,0.874,0.159146
2026-06-10T22:21:37,127.75,1.9271,205.73,246.18,-135.2,0.8357,0.159199
2026-06-10T22:21:37,123.16,4.7838,567.71,589.16,157.55,0.9636,0.159211
2026-06-10T22:21:37,127.65,1.8984,208.03,242.33,-124.28,0.8585,0.159268
2026-06-10T22:21:38,123.42,5.0723,544.7,626.01,308.51,0.8701,0.15928
2026-06-10T22:21:38,127.76,1.905,203.43,243.39,-133.64,0.8358,0.159334
2026-06-10T22:21:38,122.93,5.0086,586.9,615.71,186.13,0.9532,0.159347
2026-06-10T22:21:39,127.54,1.9132,209.52,244.0,-125.06,0.8587,0.1594
2026-06-10T22:21:39,123.68,4.8567,497.87,600.68,336.06,0.8288,0.159412
2026-06-10T22:21:39,127.75,1.9103,206.71,244.03,-129.7,0.8471,0.159467
2026-06-10T22:21:39,123.09,4.9452,562.26,608.71,233.21,0.9237,0.15948
2026-06-10T22:21:40,127.71,1.9428,206.96,248.12,-136.87,0.8341,0.159533
